time/s,<Ewe>/V,I/mA
80.10139798,0.11221619,42.72884369
80.20139797,0.247119963,47.75764847
80.30139797,0.397910684,47.50302505
80.40139797,0.511969149,48.01226425
80.50139797,0.608706415,47.63032913
80.60139796,0.689586997,47.59850693
80.70139796,0.754618466,47.59850693
80.80139796,0.806688726,47.75764847
80.90139796,0.849486887,47.91678238
81.00139795,0.885710359,47.66216278
81.10139795,0.916953683,48.07592773
81.20139795,0.944069386,47.9486084
81.30139795,0.96754235,47.63032913
81.40139794,0.987840116,47.75764847
81.50139794,1.005556583,47.47119522
81.60139794,1.021336198,47.40753937
81.70139794,1.035750985,47.69399261
81.80139793,1.049217463,47.56668091
81.90139793,1.062038541,47.9486084
82.00139793,1.074445128,48.07592773
82.10139793,1.086559772,47.91678238
82.20139792,1.098513246,47.85313034
82.30139792,1.11034596,47.85313034
82.40139792,1.122088909,47.72581482
82.50139792,1.133714557,47.9486084
82.60139791,1.145254374,48.2987175
82.70139791,1.156649709,47.88496017
82.80139791,1.167824626,47.69399261
82.90139791,1.178777933,47.85313034
83.0013979,1.189421535,47.91678238
83.1013979,1.199767232,47.75764847
83.2013979,1.209718585,47.53485107
83.3013979,1.219305158,47.75764847
83.40139789,1.228482246,47.91678238
83.50139789,1.237271786,47.72581482
83.60139789,1.245632172,47.85313034
83.70139789,1.253572106,48.13957596
83.80139788,1.261066318,47.78947449
83.90139788,1.268120408,47.72581482
84.00139788,1.274737954,47.53485107
84.10139788,1.28080523,47.82129669
84.20139787,1.286302567,47.69399261
84.30139787,1.291146994,47.9486084
84.40139787,1.295305729,47.66216278
84.50139787,1.298760653,47.85313034
84.60139786,1.301576018,47.82129669
84.70139786,1.303843021,47.69399261
84.80139786,1.305666208,47.47119522
84.90139786,1.307128906,47.4393692
85.00139785,1.308327794,47.59850693
85.10139785,1.309314847,47.69399261
85.20139785,1.310141087,47.4393692
85.30139785,1.310849905,47.47119522
85.40139784,1.311444163,47.50302505
85.50139784,1.311954618,47.9486084
85.60139784,1.312418818,48.36237335
85.70139784,1.312858224,47.56668091
85.80139783,1.31322813,47.66216278
85.90139783,1.313617587,47.78947449
86.00139783,1.313919067,47.75764847
86.10139782,1.314198852,47.56668091
86.20139782,1.314449787,47.78947449
86.30139782,1.31466496,47.63032913
86.40139782,1.31489408,47.72581482
86.50139781,1.315124393,48.10774994
86.60139781,1.315333724,47.56668091
86.70139781,1.315499663,48.07592773
86.80139781,1.315673828,47.66216278
86.9013978,1.31583786,47.88496017
87.0013978,1.316029072,47.75764847
87.1013978,1.316184998,47.56668091
87.2013978,1.316315055,47.28022766
87.30139779,1.31642437,48.10774994
87.40139779,1.316516042,47.9486084
87.50139779,1.316629171,47.59850693
87.60139779,1.316755414,47.63032913
87.70139778,1.316848874,48.07592773
87.80139778,1.316956282,47.72581482
87.90139778,1.317045808,47.28022766
88.00139778,1.317149401,47.82129669
88.10139777,1.31724894,48.07592773
88.20139777,1.317332149,47.34388351
88.30139777,1.317400575,48.13957596
88.40139777,1.317447186,47.47119522
88.50139776,1.317543507,47.4393692
88.60139776,1.317652822,47.82129669
88.70139776,1.317756176,47.63032913
88.80139776,1.317865968,47.78947449
88.90139775,1.31799829,47.72581482
89.00139775,1.318124771,47.56668091
89.10139775,1.318214655,47.9486084
89.20139775,1.318256855,47.85313034
89.30139774,1.318303227,48.07592773
89.40139774,1.318363786,48.10774994
89.50139774,1.318399072,47.9486084
89.60139774,1.31844151,48.10774994
89.70139773,1.318507791,47.75764847
89.80139773,1.318608284,47.85313034
89.90139773,1.318722129,47.59850693
90.00139773,1.3188169,48.01226425
90.10139772,1.31884563,47.9486084
90.20139772,1.318858862,47.78947449
90.30139772,1.318836808,47.78947449
90.40139772,1.318850756,47.88496017
90.50139771,1.318881273,47.47119522
90.60139771,1.318951488,47.88496017
90.70139771,1.319005132,47.72581482
90.80139771,1.319021821,47.91678238
90.9013977,1.31905365,47.85313034
91.0013977,1.319102883,47.9486084
91.1013977,1.319200158,47.59850693
91.2013977,1.319311857,47.82129669
91.30139769,1.319382787,47.82129669
91.40139769,1.319422245,47.75764847
91.50139769,1.319454789,47.75764847
91.60139769,1.319455147,47.78947449
91.70139768,1.319461226,47.88496017
91.80139768,1.319470406,48.07592773
91.90139768,1.319495559,47.72581482
92.00139768,1.319550276,48.20323181
92.10139767,1.319628358,47.72581482
92.20139767,1.319687486,47.88496017
92.30139767,1.319737673,47.59850693
92.40139767,1.319775939,47.88496017
92.50139766,1.319792867,47.98044205
92.60139766,1.319825411,47.69399261
92.70139766,1.319870591,47.34388351
92.80139766,1.319923997,47.91678238
92.90139765,1.320008159,47.85313034
93.00139765,1.32006669,47.78947449
93.10139765,1.320077777,47.85313034
93.20139765,1.320085287,47.40753937
93.30139764,1.320108175,48.01226425
93.40139764,1.320122838,48.01226425
93.50139764,1.320119858,47.85313034
93.60139764,1.320164919,48.17140961
93.70139763,1.320222735,47.98044205
93.80139763,1.320280671,47.59850693
93.90139763,1.320363283,47.78947449
94.00139763,1.320417762,47.66216278
94.10139762,1.320447326,48.13957596
94.20139762,1.320462704,47.75764847
94.30139762,1.32046771,47.78947449
94.40139762,1.320438147,47.66216278
94.50139761,1.320407629,48.01226425
94.60139761,1.320363879,47.82129669
94.70139761,1.320357442,47.88496017
94.80139761,1.32037282,47.78947449
94.9013976,1.320375085,47.66216278
95.0013976,1.320396662,47.75764847
95.1013976,1.320431352,47.56668091
95.2013976,1.320450068,48.01226425
95.30139759,1.32047081,47.72581482
95.40139759,1.320522428,47.4393692
95.50139759,1.320588827,48.07592773
95.60139758,1.320639729,47.59850693
95.70139758,1.320641398,47.4393692
95.80139758,1.320689678,47.63032913
95.90139758,1.320744872,47.59850693
96.00139757,1.32078433,47.69399261
96.10139757,1.320801139,47.78947449
96.20139757,1.320827127,47.63032913
96.30139757,1.320864677,47.9486084
96.40139756,1.320914149,47.53485107
96.50139756,1.320929408,47.91678238
96.60139756,1.320936441,47.56668091
96.70139756,1.320984006,47.59850693
96.80139755,1.321026087,47.66216278
96.90139755,1.321058869,48.04409409
97.00139755,1.321093321,47.88496017
97.10139755,1.32109344,47.63032913
97.20139754,1.32111764,47.9486084
97.30139754,1.321151137,47.75764847
97.40139754,1.321154714,47.56668091
97.50139754,1.321144223,47.66216278
97.60139753,1.321132898,47.78947449
97.70139753,1.321124434,47.78947449
97.80139753,1.321119189,47.59850693
97.90139753,1.321146965,47.72581482
98.00139752,1.321192503,47.40753937
98.10139752,1.32122004,47.78947449
98.20139752,1.321238637,48.01226425
98.30139752,1.321210027,47.69399261
98.40139751,1.32119143,47.53485107
98.50139751,1.3211658,47.98044205
98.60139751,1.321143389,47.85313034
98.70139751,1.321140647,47.9486084
98.8013975,1.321151376,47.85313034
98.9013975,1.321232557,47.78947449
99.0013975,1.32129693,47.72581482
99.1013975,1.321342468,47.53485107
99.20139749,1.321371436,47.82129669
99.30139749,1.321405768,47.47119522
99.40139749,1.321394801,47.69399261
99.50139749,1.321360469,47.75764847
99.60139748,1.321341276,47.82129669
99.70139748,1.321331739,48.07592773
99.80139748,1.321353078,47.75764847
99.90139748,1.321376443,47.59850693
100.0013975,1.321388602,47.75764847
100.1013975,1.321370602,47.82129669
100.2013975,1.321349144,47.72581482
100.3013975,1.32136476,47.98044205
100.4013975,1.321392775,48.07592773
100.5013975,1.321438551,48.04409409
100.6013975,1.321479797,47.53485107
