time/s	Ewe/V	I/mA	
2.001045949449326E+002	8.5021824E-001	1.2714108E+002
2.002045949424064E+002	1.0987453E+000	1.4495915E+002
2.003045949398802E+002	1.1686304E+000	1.4534097E+002
2.004045949373540E+002	1.2166643E+000	1.4572279E+002
2.005045949348278E+002	1.2486107E+000	1.4508644E+002
2.006045949323016E+002	1.2700227E+000	1.4406825E+002
2.007045949297753E+002	1.2843165E+000	1.4419553E+002
2.008045949272491E+002	1.2936295E+000	1.4432280E+002
2.009045949247229E+002	1.3004615E+000	1.4419553E+002
2.010045949221967E+002	1.3056141E+000	1.4406825E+002
2.011045949196705E+002	1.3101752E+000	1.4521370E+002
2.012045949171443E+002	1.3137438E+000	1.4495915E+002
2.013045949146181E+002	1.3173506E+000	1.4508644E+002
2.014045949120919E+002	1.3198316E+000	1.4483188E+002
2.015045949095656E+002	1.3223697E+000	1.4355917E+002
2.016045949070394E+002	1.3240873E+000	1.4457735E+002
2.017045949045132E+002	1.3255949E+000	1.4534097E+002
2.018045949019870E+002	1.3267781E+000	1.4585007E+002
2.019045948994608E+002	1.3276368E+000	1.4648642E+002
2.020045948969346E+002	1.3281330E+000	1.4495915E+002
2.021045948944084E+002	1.3288010E+000	1.4495915E+002
2.022045948918822E+002	1.3290108E+000	1.4559552E+002
2.023045948893559E+002	1.3294116E+000	1.4355917E+002
2.024045948868297E+002	1.3296980E+000	1.4406825E+002
2.025045948843035E+002	1.3299651E+000	1.4508644E+002
2.026045948817773E+002	1.3301178E+000	1.4572279E+002
2.027045948792511E+002	1.3304040E+000	1.4330461E+002
2.028045948767249E+002	1.3303850E+000	1.4457735E+002
2.029045948741987E+002	1.3307475E+000	1.4355917E+002
2.030045948716725E+002	1.3304994E+000	1.4495915E+002
2.031045948691462E+002	1.3307475E+000	1.4457735E+002
2.032045948666200E+002	1.3307284E+000	1.4521370E+002
2.033045948640938E+002	1.3309383E+000	1.4508644E+002
2.034045948615676E+002	1.3312055E+000	1.4521370E+002
2.035045948590414E+002	1.3309383E+000	1.4508644E+002
2.036045948565152E+002	1.3310910E+000	1.4521370E+002
2.037045948539890E+002	1.3311292E+000	1.4521370E+002
2.038045948514628E+002	1.3311101E+000	1.4419553E+002
2.039045948489365E+002	1.3314537E+000	1.4546825E+002
2.040045948464103E+002	1.3313010E+000	1.4534097E+002
2.041045948438841E+002	1.3313010E+000	1.4559552E+002
2.042045948413579E+002	1.3312055E+000	1.4419553E+002
2.043045948388317E+002	1.3315872E+000	1.4521370E+002
2.044045948363055E+002	1.3316444E+000	1.4495915E+002
2.045045948337793E+002	1.3315681E+000	1.4521370E+002
2.046045948312531E+002	1.3316636E+000	1.4572279E+002
2.047045948287268E+002	1.3316827E+000	1.4432280E+002
2.048045948262006E+002	1.3316253E+000	1.4457735E+002
2.049045948236744E+002	1.3317590E+000	1.4381371E+002
2.050045948211482E+002	1.3316827E+000	1.4343190E+002
2.051045948186220E+002	1.3318162E+000	1.4483188E+002
2.052045948160958E+002	1.3317018E+000	1.4597733E+002
2.053045948135696E+002	1.3317590E+000	1.4572279E+002
2.054045948110434E+002	1.3317780E+000	1.4457735E+002
2.055045948085171E+002	1.3319308E+000	1.4394099E+002
2.056045948059909E+002	1.3318162E+000	1.4419553E+002
2.057045948034647E+002	1.3317590E+000	1.4457735E+002
2.058045948009385E+002	1.3317971E+000	1.4483188E+002
2.059045947984123E+002	1.3319689E+000	1.4445007E+002
2.060045947958861E+002	1.3319689E+000	1.4419553E+002
2.061045947933599E+002	1.3319308E+000	1.4432280E+002
2.062045947908337E+002	1.3320452E+000	1.4521370E+002
2.063045947883074E+002	1.3320452E+000	1.4508644E+002
2.064045947857812E+002	1.3322742E+000	1.4445007E+002
2.065045947832550E+002	1.3320833E+000	1.4483188E+002
2.066045947807288E+002	1.3321407E+000	1.4432280E+002
2.067045947782026E+002	1.3320452E+000	1.4470462E+002
2.068045947756764E+002	1.3321788E+000	1.4406825E+002
2.069045947731502E+002	1.3321598E+000	1.4483188E+002
2.070045947706240E+002	1.3320833E+000	1.4432280E+002
2.071045947680977E+002	1.3320261E+000	1.4470462E+002
2.072045947655715E+002	1.3322933E+000	1.4470462E+002
2.073045947630453E+002	1.3322933E+000	1.4534097E+002
2.074045947605191E+002	1.3322361E+000	1.4572279E+002
2.075045947579929E+002	1.3320261E+000	1.4495915E+002
2.076045947554667E+002	1.3323315E+000	1.4585007E+002
2.077045947529405E+002	1.3322933E+000	1.4445007E+002
2.078045947504143E+002	1.3322742E+000	1.4508644E+002
2.079045947478880E+002	1.3322933E+000	1.4534097E+002
2.080045947453618E+002	1.3325032E+000	1.4470462E+002
2.081045947428356E+002	1.3326178E+000	1.4381371E+002
2.082045947403094E+002	1.3323697E+000	1.4508644E+002
2.083045947377832E+002	1.3323697E+000	1.4394099E+002
2.084045947352570E+002	1.3324651E+000	1.4470462E+002
2.085045947327308E+002	1.3323123E+000	1.4521370E+002
2.086045947302046E+002	1.3325796E+000	1.4445007E+002
2.087045947276783E+002	1.3324269E+000	1.4521370E+002
2.088045947251521E+002	1.3323315E+000	1.4394099E+002
2.089045947226259E+002	1.3323888E+000	1.4483188E+002
2.090045947200997E+002	1.3325032E+000	1.4330461E+002
2.091045947175735E+002	1.3325415E+000	1.4508644E+002
2.092045947150473E+002	1.3322551E+000	1.4495915E+002
2.093045947125211E+002	1.3322742E+000	1.4470462E+002
2.094045947099949E+002	1.3324460E+000	1.4419553E+002
2.095045947074686E+002	1.3325032E+000	1.4597733E+002
2.096045947049424E+002	1.3324269E+000	1.4483188E+002
2.097045947024162E+002	1.3325223E+000	1.4546825E+002
2.098045946998900E+002	1.3325032E+000	1.4508644E+002
2.099045946973638E+002	1.3326559E+000	1.4508644E+002
2.100045946948376E+002	1.3325223E+000	1.4495915E+002
2.101045946923114E+002	1.3326559E+000	1.4445007E+002
2.102045946897852E+002	1.3326750E+000	1.4495915E+002
2.103045946872589E+002	1.3325223E+000	1.4623189E+002
2.104045946847327E+002	1.3327322E+000	1.4445007E+002
2.105045946822065E+002	1.3326178E+000	1.4470462E+002
2.106045946796803E+002	1.3325796E+000	1.4546825E+002
2.107045946771541E+002	1.3326750E+000	1.4534097E+002
2.108045946746279E+002	1.3325415E+000	1.4432280E+002
2.109045946721017E+002	1.3325032E+000	1.4419553E+002
2.110045946695755E+002	1.3324841E+000	1.4483188E+002
2.111045946670492E+002	1.3326559E+000	1.4534097E+002
2.112045946645230E+002	1.3326559E+000	1.4406825E+002
2.113045946619968E+002	1.3327131E+000	1.4521370E+002
2.114045946594706E+002	1.3327322E+000	1.4546825E+002
2.115045946569444E+002	1.3325415E+000	1.4546825E+002
2.116045946544182E+002	1.3325605E+000	1.4483188E+002
2.117045946518920E+002	1.3327705E+000	1.4610461E+002
2.118045946493658E+002	1.3327131E+000	1.4470462E+002
2.119045946468395E+002	1.3327131E+000	1.4521370E+002
2.120045946443133E+002	1.3326368E+000	1.4368643E+002
2.121045946417871E+002	1.3328086E+000	1.4521370E+002
2.122045946392609E+002	1.3325987E+000	1.4559552E+002
2.123045946367347E+002	1.3325415E+000	1.4317735E+002
2.124045946342085E+002	1.3325796E+000	1.4394099E+002
2.125045946316823E+002	1.3330185E+000	1.4572279E+002
2.126045946291561E+002	1.3326941E+000	1.4330461E+002
2.127045946266298E+002	1.3327705E+000	1.4546825E+002
2.128045946241036E+002	1.3328468E+000	1.4406825E+002
2.129045946215774E+002	1.3329040E+000	1.4406825E+002
2.130045946190512E+002	1.3327322E+000	1.4546825E+002
2.131045946165250E+002	1.3329040E+000	1.4508644E+002
2.132045946139988E+002	1.3330376E+000	1.4419553E+002
2.133045946114726E+002	1.3329231E+000	1.4534097E+002
2.134045946089464E+002	1.3329231E+000	1.4419553E+002
2.135045946064201E+002	1.3327895E+000	1.4559552E+002
2.136045946038939E+002	1.3326750E+000	1.4508644E+002
2.137045946013677E+002	1.3327705E+000	1.4432280E+002
2.138045945988415E+002	1.3332475E+000	1.4585007E+002
2.139045945963153E+002	1.3329231E+000	1.4585007E+002
2.140045945937891E+002	1.3328468E+000	1.4508644E+002
2.141045945912629E+002	1.3329804E+000	1.4521370E+002
2.142045945887367E+002	1.3328658E+000	1.4381371E+002
2.143045945862104E+002	1.3329995E+000	1.4445007E+002
2.144045945836842E+002	1.3329040E+000	1.4470462E+002
2.145045945811580E+002	1.3327705E+000	1.4546825E+002
2.146045945786318E+002	1.3329995E+000	1.4534097E+002
2.147045945761056E+002	1.3329804E+000	1.4394099E+002
2.148045945735794E+002	1.3331139E+000	1.4419553E+002
2.149045945710532E+002	1.3328086E+000	1.4623189E+002
2.150045945685270E+002	1.3328849E+000	1.4521370E+002
2.151045945660007E+002	1.3330948E+000	1.4317735E+002
2.152045945634745E+002	1.3328658E+000	1.4470462E+002
2.153045945609483E+002	1.3329804E+000	1.4521370E+002
2.154045945584221E+002	1.3328468E+000	1.4457735E+002
2.155045945558959E+002	1.3330758E+000	1.4495915E+002
2.156045945533697E+002	1.3329421E+000	1.4521370E+002
2.157045945508435E+002	1.3330185E+000	1.4597733E+002
2.158045945483173E+002	1.3330185E+000	1.4508644E+002
2.159045945457910E+002	1.3330376E+000	1.4406825E+002
2.160045945432648E+002	1.3330567E+000	1.4483188E+002
2.161045945407386E+002	1.3329231E+000	1.4419553E+002
2.162045945382124E+002	1.3330185E+000	1.4623189E+002
2.163045945356862E+002	1.3330376E+000	1.4559552E+002
2.164045945331600E+002	1.3329995E+000	1.4432280E+002
2.165045945306338E+002	1.3329995E+000	1.4521370E+002
2.166045945281076E+002	1.3330948E+000	1.4508644E+002
2.167045945255813E+002	1.3329804E+000	1.4406825E+002
2.168045945230551E+002	1.3330567E+000	1.4419553E+002
2.169045945205289E+002	1.3328468E+000	1.4546825E+002
2.170045945180027E+002	1.3329231E+000	1.4521370E+002
2.171045945154765E+002	1.3329995E+000	1.4483188E+002
2.172045945129503E+002	1.3329040E+000	1.4572279E+002
2.173045945104241E+002	1.3329421E+000	1.4508644E+002
2.174045945078979E+002	1.3329612E+000	1.4343190E+002
2.175045945053716E+002	1.3329612E+000	1.4572279E+002
2.176045945028454E+002	1.3331521E+000	1.4445007E+002
2.177045945003192E+002	1.3330948E+000	1.4432280E+002
2.178045944977930E+002	1.3330567E+000	1.4559552E+002
2.179045944952668E+002	1.3331521E+000	1.4457735E+002
2.180045944927406E+002	1.3329804E+000	1.4572279E+002
2.181045944902144E+002	1.3330948E+000	1.4521370E+002
2.182045944876882E+002	1.3331902E+000	1.4432280E+002
2.183045944851619E+002	1.3331711E+000	1.4725006E+002
2.184045944826357E+002	1.3330567E+000	1.4521370E+002
2.185045944801095E+002	1.3329995E+000	1.4419553E+002
2.186045944775833E+002	1.3331139E+000	1.4445007E+002
2.187045944750571E+002	1.3331330E+000	1.4368643E+002
2.188045944725309E+002	1.3331711E+000	1.4406825E+002
2.189045944700047E+002	1.3331521E+000	1.4546825E+002
2.190045944674785E+002	1.3328468E+000	1.4432280E+002
