time/s	Ewe/V	<I>/mA	
0.000000000000000E+000	2.5466982E-001	-7.673137784004211E-001
1.499999962106813E-002	2.5448847E-001	-7.431319145939774E-001
3.249999917898094E-002	2.5407815E-001	-7.596772513073020E-001
3.999999898951501E-002	2.5400189E-001	-6.756778650544604E-001
4.999999873689376E-002	2.5381097E-001	-8.004043252021127E-001
5.999999848427251E-002	2.5348663E-001	-1.016766750169921E+000
7.499999810534064E-002	2.5332430E-001	-9.862214054248764E-001
8.999999772640876E-002	2.5308588E-001	-6.604051541816447E-001
9.499999760009814E-002	2.5278053E-001	-9.658579546213169E-001
9.999999747378752E-002	2.5276145E-001	-8.538585621118564E-001
1.049999973474769E-001	2.5270420E-001	-1.088039169264958E+000
1.200999969660188E-001	2.5238565E-001	-9.245513263184790E-001
1.451999963319395E-001	2.5187156E-001	-9.849486934044404E-001
1.701999957003864E-001	2.5135157E-001	-1.047311981583476E+000
1.951999950688332E-001	2.5082910E-001	-1.112857089064781E+000
2.201999944372801E-001	2.5037110E-001	-1.116038935502297E+000
2.451999938057270E-001	2.4998230E-001	-1.151038731219021E+000
2.601999934267951E-001	2.4945994E-001	-1.133856994509697E+000
2.651999933004845E-001	2.4949810E-001	-1.169493191838265E+000
2.801999929215526E-001	2.4924517E-001	-1.104584442777564E+000
3.051999922899995E-001	2.4868935E-001	-1.203220269464660E+000
3.301999916584464E-001	2.4817170E-001	-1.169493122822605E+000
3.551999910268933E-001	2.4763496E-001	-1.263674385126213E+000
3.751999905216508E-001	2.4726523E-001	-1.250947151470459E+000
3.851999902690295E-001	2.4707446E-001	-1.225492809964345E+000
4.001999898900976E-001	2.4677143E-001	-1.271310776311434E+000
4.251999892585445E-001	2.4629195E-001	-1.336219528386135E+000
4.501999886269914E-001	2.4577430E-001	-1.329855839443631E+000
4.751999879954383E-001	2.4532345E-001	-1.354037513360385E+000
5.001999873638852E-001	2.4480820E-001	-1.427855240679343E+000
5.251999867323320E-001	2.4425712E-001	-1.434218841352269E+000
5.501999861007789E-001	2.4374902E-001	-1.505491239503026E+000
5.751999854692258E-001	2.4330771E-001	-1.422764429034430E+000
6.001999848376727E-001	2.4276860E-001	-1.356583007370356E+000
6.251999842061196E-001	2.4232729E-001	-1.432946176081893E+000
